X,Y,type,time,latitude,longitude,altitude (m),speed (km/h),color,opacity,width,name,desc,horizontal_accuracy,kml_folder,source,vertical_accuracy
170083.0932,708939.5171,T,24/08/2023 09:48:17,56.21727713,-5.709734683,62.2,0.9,#ff802f,1,4,D13_Track 1,,4.8655,Day 13,0,3.19648
170080.9929,708940.1211,T,24/08/2023 09:48:19,56.21728153,-5.709769,62.5,1.1,#ff802f,1,4,D13_Track 1,,4.95748,Day 13,0,4.30151
170079.2441,708941.1345,T,24/08/2023 09:48:21,56.21728977,-5.709798017,62.9,1,#ff802f,1,4,D13_Track 1,,4.84765,Day 13,0,4.11094
170074.8847,708946.0241,T,24/08/2023 09:48:33,56.2173315,-5.7098724,63.4,0.5,#ff802f,1,4,D13_Track 1,,4.3496,Day 13,0,3.14946
170072.2452,708946.482,T,24/08/2023 09:48:35,56.21733433,-5.709915267,63.7,1.3,#ff802f,1,4,D13_Track 1,,4.58205,Day 13,0,4.05418
170070.2716,708947.2264,T,24/08/2023 09:48:37,56.21734005,-5.709947667,63.9,1.1,#ff802f,1,4,D13_Track 1,,4.90975,Day 13,0,5.02734
170067.7043,708948.0809,T,24/08/2023 09:48:40,56.21734647,-5.709989717,63.5,0.9,#ff802f,1,4,D13_Track 1,,5.13811,Day 13,0,5.634
170064.8807,708947.9108,T,24/08/2023 09:48:43,56.21734358,-5.710035,64.2,0.9,#ff802f,1,4,D13_Track 1,,5.55639,Day 13,0,3.50585
170062.7092,708949.3441,T,24/08/2023 09:48:47,56.21735538,-5.710071183,63.6,0.6,#ff802f,1,4,D13_Track 1,,5.45432,Day 13,0,3.54395
170060.7226,708950.039,T,24/08/2023 09:48:49,56.21736065,-5.71010375,63.8,1,#ff802f,1,4,D13_Track 1,,5.07562,Day 13,0,3.51591
170058.4162,708951.2765,T,24/08/2023 09:48:53,56.21737063,-5.710141933,63.6,0.7,#ff802f,1,4,D13_Track 1,,4.7589,Day 13,0,2.91251
170055.6814,708951.6381,T,24/08/2023 09:48:57,56.21737255,-5.71018625,63.6,0.7,#ff802f,1,4,D13_Track 1,,4.63448,Day 13,0,1.54699
170053.43,708952.0908,T,24/08/2023 09:49:01,56.21737552,-5.710222867,61.6,0.6,#ff802f,1,4,D13_Track 1,,4.93461,Day 13,0,1.09376
170050.5836,708952.2643,T,24/08/2023 09:49:04,56.2173757,-5.710268817,60.5,0.9,#ff802f,1,4,D13_Track 1,,5.15412,Day 13,0,3.2783
170048.3511,708952.8364,T,24/08/2023 09:49:06,56.21737975,-5.710305233,60.8,1.1,#ff802f,1,4,D13_Track 1,,4.79028,Day 13,0,3.78237
