X,Y,type,time,latitude,longitude,altitude (m),field_11
170048.8165,708820.8824,T,23/08/2023 08:50,56.21619695,-5.710183283,76,0
170050.8375,708819.4428,T,23/08/2023 08:51,56.21618502,-5.710149517,76.2,0.03343
170052.6213,708817.9613,T,23/08/2023 08:51,56.2161726,-5.710119533,75.3,0.577885
170053.8508,708815.7902,T,23/08/2023 08:52,56.21615373,-5.710097867,75.1,0.497828
170054.5635,708813.5623,T,23/08/2023 08:52,56.2161341,-5.710084467,74.5,0.259451
170056.1554,708810.6746,T,23/08/2023 08:52,56.21610898,-5.71005635,75.8,0.469962
170057.7805,708808.8269,T,23/08/2023 08:52,56.2160932,-5.7100286,76.9,0.613604
170060.1969,708806.1501,T,23/08/2023 08:52,56.21607037,-5.7099874,77,1.79832
170062.2287,708803.3915,T,23/08/2023 08:52,56.21604662,-5.709952317,76.8,1.70879
170063.6195,708801.3847,T,23/08/2023 08:52,56.2160293,-5.7099282,76.3,0.487082
170065.2897,708798.6645,T,23/08/2023 08:52,56.21600572,-5.709898967,76.1,1.59247
170066.8956,708796.4598,T,23/08/2023 08:52,56.21598673,-5.709871217,76.2,1.36012
170068.9098,708793.7011,T,23/08/2023 08:52,56.21596297,-5.709836417,76.7,1.70397
170070.3143,708791.911,T,23/08/2023 08:52,56.2159476,-5.709812267,76.4,1.13461
170071.2217,708789.8354,T,23/08/2023 08:52,56.21592943,-5.709795867,76.4,1.13014
170072.2526,708787.7821,T,23/08/2023 08:52,56.21591152,-5.7097775,77.1,1.14659
170073.1516,708784.8961,T,23/08/2023 08:52,56.21588608,-5.709760533,76.1,1.00546
170073.9657,708782.4541,T,23/08/2023 08:52,56.21586458,-5.709745317,76.1,0.856391
170075.6722,708780.6935,T,23/08/2023 08:52,56.21584962,-5.709716333,74.7,0.611412
170076.7008,708778.0983,T,23/08/2023 08:52,56.21582685,-5.709697533,74.6,1.39283
170077.779,708775.9633,T,23/08/2023 08:52,56.21580823,-5.709678333,73.8,0.795445
170079.875,708773.7032,T,23/08/2023 08:53,56.21578898,-5.70964265,73.5,1.02468
170080.8255,708770.907,T,23/08/2023 08:53,56.21576437,-5.709624933,75.5,0.982771
170081.4699,708768.0848,T,23/08/2023 08:53,56.21573938,-5.709612117,75.4,0.722211
170082.4725,708765.7186,T,23/08/2023 08:53,56.21571865,-5.709593933,75.8,1.28249
170082.4711,708763.4064,T,23/08/2023 08:53,56.21569792,-5.70959195,76.9,0.46174
170083.971,708762.0596,T,23/08/2023 08:53,56.21568657,-5.70956665,78.6,0.669991
170085.3977,708760.545,T,23/08/2023 08:53,56.21567368,-5.709542383,81,0.518628
170087.2913,708761.449,T,23/08/2023 08:53,56.2156827,-5.7095127,82.5,0.697124
170089.3799,708762.145,T,23/08/2023 08:53,56.21568995,-5.7094797,83,0.731312
170091.3723,708763.153,T,23/08/2023 08:53,56.21569995,-5.709448517,85,0.741927
170093.0828,708765.9051,T,23/08/2023 08:53,56.21572545,-5.709423383,85.5,1.0778
170095.1039,708767.0398,T,23/08/2023 08:53,56.2157366,-5.70939185,87.3,0.577643
170096.8682,708768.0634,T,23/08/2023 08:53,56.21574663,-5.70936435,89.6,0.406742
170099.2893,708768.0858,T,23/08/2023 08:53,56.215748,-5.709325417,90.4,0.482422
170101.6077,708769.0293,T,23/08/2023 08:53,56.21575758,-5.709288933,91.3,0.83162
170103.7312,708770.2578,T,23/08/2023 08:53,56.21576962,-5.709255833,92.8,1.22261
170106.3282,708771.4897,T,23/08/2023 08:53,56.21578192,-5.709215117,93.3,1.43255
170108.2606,708772.7475,T,23/08/2023 08:53,56.21579413,-5.709185117,93.3,0.76639
170110.4864,708773.7596,T,23/08/2023 08:54,56.21580428,-5.709150183,93,0.81236
170112.7497,708773.7771,T,23/08/2023 08:54,56.21580553,-5.709113783,92.4,0.563741
170115.4331,708774.0172,T,23/08/2023 08:54,56.21580898,-5.709070817,91.9,0.671065
170117.5168,708773.026,T,23/08/2023 08:54,56.2158011,-5.709036433,91.9,0.459922
170119.496,708772.1363,T,23/08/2023 08:54,56.21579408,-5.709003817,92.7,0.540602
170121.4663,708771.5215,T,23/08/2023 08:54,56.21578952,-5.708971583,93.6,1.02836
170123.6803,708771.623,T,23/08/2023 08:54,56.2157915,-5.70893605,95.4,1.10406
170125.4484,708773.0246,T,23/08/2023 08:54,56.21580492,-5.708908817,96.4,0.374949
170127.8509,708772.9152,T,23/08/2023 08:54,56.2158051,-5.708870067,96.1,0.798689
170129.7481,708772.1158,T,23/08/2023 08:54,56.21579885,-5.70883885,95.3,0.512871
170131.6564,708771.4463,T,23/08/2023 08:54,56.21579377,-5.708807567,95.2,0.671733
170134.0666,708770.8457,T,23/08/2023 08:54,56.21578955,-5.708768267,95.5,0.824937
170136.3009,708769.5352,T,23/08/2023 08:54,56.21577888,-5.708731183,96.5,0.860511
170138.5007,708769.0095,T,23/08/2023 08:54,56.21577523,-5.708695333,97,0.751173
170140.7726,708768.8592,T,23/08/2023 08:54,56.21577498,-5.70865865,96.9,0.756122
170142.753,708768.4334,T,23/08/2023 08:54,56.21577212,-5.708626417,96.8,1.00919
170145.0749,708768.576,T,23/08/2023 08:54,56.21577452,-5.708589183,97.1,0.77254
170146.9556,708769.3558,T,23/08/2023 08:54,56.21578242,-5.7085596,98.5,0.676395
170149.0627,708768.5128,T,23/08/2023 08:55,56.21577588,-5.708524967,98.3,0.753771
170151.4854,708767.1999,T,23/08/2023 08:55,56.21576528,-5.70848485,97.8,0.686571
170154.3961,708767.4301,T,23/08/2023 08:55,56.21576875,-5.708438217,97.6,0.969692
170156.327,708768.679,T,23/08/2023 08:55,56.21578088,-5.708408233,97.5,0.573219
170158.6384,708768.9359,T,23/08/2023 08:55,56.2157843,-5.708371267,97.7,0.772358
170161.2612,708769.0868,T,23/08/2023 08:55,56.21578692,-5.7083292,97.1,1.30864
170164.1378,708768.7009,T,23/08/2023 08:55,56.21578485,-5.708282583,96.6,0.963846
170166.4171,708767.959,T,23/08/2023 08:55,56.2157793,-5.708245267,95.5,0.298558
170166.9066,708765.8167,T,23/08/2023 08:55,56.21576033,-5.708235533,95.2,0.365531
170168.5811,708763.885,T,23/08/2023 08:55,56.21574382,-5.708206917,95.2,0.364323
170170.5279,708763.2759,T,23/08/2023 08:55,56.2157393,-5.708175067,95.3,1.01619
170172.8242,708762.6759,T,23/08/2023 08:55,56.21573503,-5.7081376,96.8,0.591179
170174.7683,708761.767,T,23/08/2023 08:55,56.21572782,-5.708105533,97.9,1.06949
170177.5463,708760.667,T,23/08/2023 08:55,56.2157193,-5.708059883,97.8,0.992418
170179.9587,708759.7785,T,23/08/2023 08:55,56.2157125,-5.7080203,97.8,0.853883
170181.0169,708757.8666,T,23/08/2023 08:55,56.21569587,-5.708001617,97.6,0.726893
170181.6087,708755.5269,T,23/08/2023 08:56,56.21567518,-5.707990067,98.3,0.802737
170182.0167,708753.3712,T,23/08/2023 08:56,56.21565605,-5.707981633,98.9,0.730167
170183.2506,708751.297,T,23/08/2023 08:56,56.21563805,-5.707959983,98.1,0.802638
170183.2132,708749.0649,T,23/08/2023 08:56,56.21561802,-5.70795865,97.3,0.131125
170185.2875,708749.2666,T,23/08/2023 08:56,56.21562083,-5.70792545,101.1,0.159737
170185.8384,708746.2052,T,23/08/2023 08:56,56.21559365,-5.707913933,101.8,1.03513
170185.4149,708744.0162,T,23/08/2023 08:56,56.21557382,-5.70791885,102.3,1.11311
170184.8109,708742.0924,T,23/08/2023 08:56,56.21555628,-5.7079269,102.4,1.00608
170184.5898,708739.9315,T,23/08/2023 08:56,56.2155368,-5.707928583,102.9,1.08447
170183.4733,708737.839,T,23/08/2023 08:56,56.2155175,-5.707944733,103,0.591754
170184.712,708735.8928,T,23/08/2023 08:56,56.21550065,-5.707923117,103.1,0.460305
170185.3668,708733.4338,T,23/08/2023 08:56,56.21547892,-5.70791045,102.6,1.27019
170185.9619,708730.6366,T,23/08/2023 08:57,56.21545413,-5.70789845,102.5,0.951308
170186.8756,708728.3678,T,23/08/2023 08:57,56.21543423,-5.707881783,101.9,1.22049
170186.4727,708726.1386,T,23/08/2023 08:57,56.21541405,-5.707886333,100.6,0.565462
170186.6167,708723.8131,T,23/08/2023 08:57,56.21539327,-5.707882,99,0.775494
170187.4713,708721.5429,T,23/08/2023 08:57,56.21537333,-5.707866283,98.4,1.21008
170187.007,708719.0014,T,23/08/2023 08:57,56.21535032,-5.70787155,97.4,0.644993
170186.5481,708716.5979,T,23/08/2023 08:57,56.21532855,-5.70787685,96.9,0.488486
170185.4859,708714.2259,T,23/08/2023 08:57,56.21530677,-5.707891883,98.1,0.432406
170185.8739,708711.7377,T,23/08/2023 08:57,56.21528465,-5.707883483,96.1,0.279279
170186.4958,708709.1299,T,23/08/2023 08:57,56.21526157,-5.707871217,96.6,1.33824
170188.1917,708707.1903,T,23/08/2023 08:57,56.215245,-5.70784225,96.7,0.856441
170189.4862,708704.9154,T,23/08/2023 08:57,56.21522523,-5.70781945,96.7,0.870408
170191.1516,708703.698,T,23/08/2023 08:57,56.21521512,-5.7077916,96.4,1.02845
170192.848,708702.4979,T,23/08/2023 08:57,56.21520518,-5.707763267,95.8,0.517763
170195.6531,708702.3791,T,23/08/2023 08:57,56.21520547,-5.707718033,96.7,0.932359
170197.7136,708702.4778,T,23/08/2023 08:57,56.21520735,-5.707684967,97,1.02765
170200.0087,708702.6999,T,23/08/2023 08:57,56.21521045,-5.707648233,98.6,0.765777
170202.3918,708701.7294,T,23/08/2023 08:58,56.2152029,-5.70760905,99.6,0.512828
170204.0929,708699.7326,T,23/08/2023 08:58,56.21518582,-5.70757995,99.6,0.872162
170205.3197,708697.9879,T,23/08/2023 08:58,56.21517077,-5.7075587,100.1,0.531919
170207.3083,708696.2723,T,23/08/2023 08:58,56.21515635,-5.707525217,99.4,0.374063
