X,Y,type,time,latitude,longitude,altitude (m),color,opacity,width,name,desc,field_11,kml_folder
170051.795003679,708817.200505657,T,17/08/2023 08:44,56.21616538,-5.710132167,74.5,#ff802f,"1","4",Track 1,,0.110032,Day 6
170048.031186726,708819.112222227,T,17/08/2023 08:48,56.2161807,-5.710194383,76,,,,,,0.0184521,
170046.62654828,708817.249398074,T,17/08/2023 08:48,56.21616332,-5.710215367,76,,,,,,0.775998,
170045.253044633,708815.23320177,T,17/08/2023 08:48,56.21614458,-5.710235717,76,,,,,,1.21679,
170043.209360582,708812.467901674,T,17/08/2023 08:48,56.2161188,-5.7102662,76,,,,,,1.14368,
170041.475004799,708810.771204088,T,17/08/2023 08:48,56.21610275,-5.710292633,76.1,,,,,,1.21,
170039.472559678,708808.982999435,T,17/08/2023 08:48,56.21608575,-5.7103233,76.1,,,,,,1.33872,
170037.035559733,708807.184764421,T,17/08/2023 08:48,56.21606845,-5.71036095,76.2,,,,,,1.00664,
170036.212990353,708805.204673039,T,17/08/2023 08:48,56.2160503,-5.710372467,76.5,,,,,,1.07007,
170034.732478956,708802.663320739,T,17/08/2023 08:48,56.2160268,-5.710394083,78,,,,,,0.978358,
170033.300078597,708800.5543791,T,17/08/2023 08:48,56.2160072,-5.7104153,78.9,,,,,,0.847928,
170031.631163379,708799.091735622,T,17/08/2023 08:48,56.21599328,-5.710440883,79.4,,,,,,1.10645,
170030.276098536,708797.187203905,T,17/08/2023 08:48,56.21597555,-5.710461033,79.6,,,,,,1.16624,
170029.222773263,708795.096862362,T,17/08/2023 08:49,56.2159563,-5.710476167,80.2,,,,,,1.16804,
170027.524444903,708793.242071378,T,17/08/2023 08:49,56.21593885,-5.710501883,80.4,,,,,,1.25433,
170026.730259034,708790.981601818,T,17/08/2023 08:49,56.2159182,-5.7105127,80.4,,,,,,1.1958,
170025.741937448,708788.75167751,T,17/08/2023 08:49,56.21589773,-5.710526667,80.4,,,,,,1.21707,
170024.778568659,708786.945373769,T,17/08/2023 08:49,56.21588107,-5.7105406,80.1,,,,,,1.02185,
170023.11637461,708784.704939466,T,17/08/2023 08:49,56.21586018,-5.7105654,80.4,,,,,,0.92758,
170021.605318831,708782.46304836,T,17/08/2023 08:49,56.21583935,-5.710587767,80.8,,,,,,0.899324,
170019.931476904,708779.909816789,T,17/08/2023 08:49,56.21581565,-5.710612483,81.8,,,,,,1.01547,
170018.714431451,708778.299002511,T,17/08/2023 08:49,56.21580062,-5.710630667,82.5,,,,,,0.671517,
170017.798001168,708775.922432231,T,17/08/2023 08:49,56.21577887,-5.71064335,82.7,,,,,,0.635616,
170016.289916507,708774.023924383,T,17/08/2023 08:49,56.21576112,-5.710665967,82.2,,,,,,0.604728,
170014.448296724,708772.27836529,T,17/08/2023 08:49,56.21574458,-5.710694083,82.1,,,,,,0.632564,
170013.149071401,708770.602829128,T,17/08/2023 08:49,56.21572893,-5.710713533,81.7,,,,,,1.05766,
170011.353143485,708769.532968232,T,17/08/2023 08:49,56.21571847,-5.7107415,81.3,,,,,,1.04221,
170009.997200582,708767.900645585,T,17/08/2023 08:49,56.21570318,-5.7107619,80.7,,,,,,1.0582,
170008.722532958,708765.144082583,T,17/08/2023 08:49,56.21567785,-5.710780017,80.6,,,,,,1.51575,
170007.54138273,708762.968060022,T,17/08/2023 08:49,56.21565777,-5.710797133,80.6,,,,,,1.23563,
170005.938590531,708761.042315717,T,17/08/2023 08:49,56.21563973,-5.71082125,80.7,,,,,,1.24945,
170004.590826379,708759.235551529,T,17/08/2023 08:49,56.21562288,-5.710841367,81,,,,,,1.12446,
170001.901538811,708758.252907944,T,17/08/2023 08:49,56.21561277,-5.710883783,80.6,,,,,,0.95126,
170000.664504301,708756.482558631,T,17/08/2023 08:49,56.2155963,-5.71090215,80,,,,,,1.0773,
169998.627208887,708754.202128419,T,17/08/2023 08:49,56.21557487,-5.71093295,81.1,,,,,,1.01691,
169995.996399099,708752.537058112,T,17/08/2023 08:49,56.21555867,-5.710973833,81.8,,,,,,1.55203,
169993.411485438,708750.91747622,T,17/08/2023 08:49,56.2155429,-5.711014017,82.4,,,,,,1.52044,
169991.624234884,708749.701037612,T,17/08/2023 08:50,56.21553113,-5.711041717,83.4,,,,,,0.718441,
169989.643979509,708749.092860845,T,17/08/2023 08:50,56.21552472,-5.71107305,84.9,,,,,,0.516154,
169989.163621714,708746.735163203,T,17/08/2023 08:50,56.21550335,-5.711078733,83.8,,,,,,0.480343,
169987.73610048,708745.063206044,T,17/08/2023 08:50,56.21548767,-5.71110025,84.3,,,,,,1.09673,
169988.032235442,708742.7171719,T,17/08/2023 08:50,56.21546678,-5.71109345,84.1,,,,,,1.17994,
169987.1485005,708740.756001484,T,17/08/2023 08:50,56.21544877,-5.711105967,84.4,,,,,,1.07383,
169987.348776856,708738.130710731,T,17/08/2023 08:50,56.21542533,-5.711100467,84.5,,,,,,1.31388,
169986.419868644,708735.407929756,T,17/08/2023 08:50,56.21540047,-5.71111305,83.9,,,,,,1.43622,
169985.74966112,708733.314781239,T,17/08/2023 08:50,56.21538138,-5.711122017,83.9,,,,,,1.0966,
169984.539484497,708731.177136949,T,17/08/2023 08:50,56.21536163,-5.711139633,84,,,,,,1.2257,
169983.51385249,708728.96707821,T,17/08/2023 08:50,56.21534132,-5.711154217,84.2,,,,,,1.21621,
169982.131406798,708727.035034726,T,17/08/2023 08:50,56.21532333,-5.711174783,83.9,,,,,,1.18489,
169980.835675088,708724.675579656,T,17/08/2023 08:50,56.21530155,-5.711193583,83.7,,,,,,0.895565,
169979.99997384,708722.740820058,T,17/08/2023 08:50,56.2152838,-5.71120535,83.5,,,,,,1.05177,
169979.037453449,708720.720322085,T,17/08/2023 08:50,56.21526522,-5.711219083,83.7,,,,,,1.11703,
169977.882039886,708719.003576573,T,17/08/2023 08:50,56.21524927,-5.711236183,83.8,,,,,,1.03241,
169976.60655591,708717.134920494,T,17/08/2023 08:50,56.2152319,-5.711255083,84,,,,,,0.752389,
169975.391084986,708714.765561074,T,17/08/2023 08:50,56.21521007,-5.711272583,84.6,,,,,,0.885995,
169974.056104306,708713.176732773,T,17/08/2023 08:50,56.21519518,-5.711292683,84.9,,,,,,0.689888,
169973.052368728,708711.122765883,T,17/08/2023 08:50,56.21517628,-5.71130705,85.2,,,,,,0.76054,
169973.460059962,708708.905677049,T,17/08/2023 08:50,56.2151566,-5.711298567,86.5,,,,,,0.562667,
169973.425124679,708706.33657117,T,17/08/2023 08:50,56.21513355,-5.7112969,87.2,,,,,,0.855038,
169973.484976222,708703.988778863,T,17/08/2023 08:51,56.21511253,-5.7112939,87.3,,,,,,0.781432,
169974.02414188,708701.750099396,T,17/08/2023 08:51,56.21509272,-5.711283283,87.7,,,,,,0.766406,
169974.310045454,708699.061073734,T,17/08/2023 08:51,56.21506875,-5.71127635,87.7,,,,,,1.34962,
169974.033237932,708696.290856267,T,17/08/2023 08:51,56.21504378,-5.7112784,87.6,,,,,,0.926353,
169973.826041709,708693.889427138,T,17/08/2023 08:51,56.21502215,-5.71127965,88.2,,,,,,0.802253,
169974.556302251,708691.833405556,T,17/08/2023 08:51,56.21500407,-5.711266117,88.3,,,,,,0.544487,
169975.400210478,708689.848217414,T,17/08/2023 08:51,56.21498668,-5.711250817,87.2,,,,,,0.430407,
169975.184226847,708687.475147131,T,17/08/2023 08:51,56.2149653,-5.711252233,87.9,,,,,,0.79311,
169974.836169918,708685.285432416,T,17/08/2023 08:51,56.2149455,-5.711255933,87,,,,,,1.10676,
169974.840159057,708682.747689404,T,17/08/2023 08:51,56.21492275,-5.711253667,85.9,,,,,,1.26678,
169975.29315105,708680.256001264,T,17/08/2023 08:51,56.21490063,-5.711244217,86,,,,,,1.26386,
169975.565086387,708677.652499498,T,17/08/2023 08:51,56.21487742,-5.711237583,86.9,,,,,,0.871319,
169975.818261972,708675.662362377,T,17/08/2023 08:51,56.2148597,-5.711231783,87.6,,,,,,0.66746,
169976.930884674,708672.839520166,T,17/08/2023 08:51,56.21483493,-5.711211433,88.4,,,,,,0.756945,
169977.798595395,708670.33550522,T,17/08/2023 08:51,56.2148129,-5.7111953,88.4,,,,,,1.32265,
169979.139380951,708668.208635937,T,17/08/2023 08:51,56.21479448,-5.711171883,88.8,,,,,,1.25401,
169979.824834378,708666.090339394,T,17/08/2023 08:51,56.21477582,-5.711159017,89.4,,,,,,0.740963,
169979.573228498,708663.575304057,T,17/08/2023 08:51,56.21475315,-5.711160883,89.8,,,,,,0.28034,
169980.232261645,708661.677050267,T,17/08/2023 08:51,56.21473645,-5.711148633,90.4,,,,,,0.501375,
169980.545037499,708659.351311357,T,17/08/2023 08:52,56.21471575,-5.711141583,91.7,,,,,,0.46853,
169981.437177362,708657.222984259,T,17/08/2023 08:52,56.2146971,-5.711125383,92.2,,,,,,0.57576,
169982.861326675,708652.915482207,T,17/08/2023 08:52,56.21465917,-5.711098733,93.5,,,,,,0.905692,
169983.152474406,708650.419139007,T,17/08/2023 08:52,56.21463693,-5.711091883,93.4,,,,,,0.627064,
169981.825283728,708648.418305667,T,17/08/2023 08:52,56.21461835,-5.7111115,93,,,,,,0.798693,
169981.465315271,708645.892383249,T,17/08/2023 08:52,56.21459553,-5.7111151,94.2,,,,,,0.636711,
