X,Y,type,time,latitude,longitude,altitude (m)
170050.0599,708821.4266,T,20/08/2023 08:42,56.21620243,-5.71016375,78.6
170052.2681,708820.5959,T,20/08/2023 08:50,56.21619605,-5.7101275,76.5
170053.9487,708819.0084,T,20/08/2023 08:50,56.21618263,-5.710099083,76.1
170055.5414,708816.4821,T,20/08/2023 08:50,56.21616075,-5.710071267,78.1
170056.2664,708814.4821,T,20/08/2023 08:50,56.21614317,-5.710057867,79
170057.3064,708811.8696,T,20/08/2023 08:50,56.21612025,-5.710038867,79.8
170058.1083,708809.0267,T,20/08/2023 08:50,56.21609515,-5.7100235,80.9
170060.0716,708806.8239,T,20/08/2023 08:50,56.21607635,-5.70999,81.8
170061.5146,708805.1901,T,20/08/2023 08:50,56.2160624,-5.709965367,82.2
170063.3142,708802.8512,T,20/08/2023 08:51,56.2160423,-5.709934383,82
170064.4071,708800.7198,T,20/08/2023 08:51,56.21602372,-5.70991495,80.5
170066.4521,708798.5127,T,20/08/2023 08:51,56.21600492,-5.709880133,81.7
170067.4118,708796.6774,T,20/08/2023 08:51,56.21598893,-5.7098631,80.5
170068.6585,708794.4764,T,20/08/2023 08:51,56.2159698,-5.709841133,80.4
170069.4217,708792.5503,T,20/08/2023 08:51,56.2159529,-5.709827183,79.4
170070.9604,708791.0207,T,20/08/2023 08:51,56.21593993,-5.7098011,79.3
170072.2935,708787.5401,T,20/08/2023 08:51,56.21590937,-5.709776633,81
170073.0465,708785.503,T,20/08/2023 08:51,56.21589147,-5.70976275,81
170074.0024,708782.4042,T,20/08/2023 08:51,56.21586415,-5.709744683,79.9
170075.2771,708779.1287,T,20/08/2023 08:52,56.2158354,-5.709721333,80.1
170075.8638,708776.5228,T,20/08/2023 08:52,56.21581232,-5.709709633,80.9
170077.487,708773.929,T,20/08/2023 08:52,56.21578985,-5.709681267,82.2
170078.9946,708771.2265,T,20/08/2023 08:52,56.21576635,-5.709654667,83.5
170080.1138,708768.9465,T,20/08/2023 08:52,56.21574645,-5.709634683,85.6
170081.3107,708766.8408,T,20/08/2023 08:52,56.21572815,-5.7096136,86.6
170083.552,708766.7591,T,20/08/2023 08:52,56.2157285,-5.709577467,88.2
170086.084,708767.8015,T,20/08/2023 08:52,56.21573907,-5.709537633,89.8
170088.9794,708767.7827,T,20/08/2023 08:52,56.2157403,-5.709491033,91
170093.8692,708768.2329,T,20/08/2023 08:52,56.2157467,-5.70941275,92.2
170097.3667,708768.9891,T,20/08/2023 08:52,56.21575517,-5.709357133,93.6
170100.8034,708770.2517,T,20/08/2023 08:52,56.21576815,-5.709302933,94.6
170105.1366,708771.3867,T,20/08/2023 08:53,56.21578042,-5.7092342,95.3
170107.6136,708771.5052,T,20/08/2023 08:53,56.21578268,-5.70919445,96
170110.7795,708771.049,T,20/08/2023 08:53,56.21578012,-5.709143117,98.2
170114.3905,708771.527,T,20/08/2023 08:53,56.21578615,-5.709085433,100.6
170116.9405,708772.0978,T,20/08/2023 08:53,56.2157925,-5.7090449,101.6
170119.6846,708772.714,T,20/08/2023 08:53,56.21579935,-5.709001283,100.7
170122.213,708772.7093,T,20/08/2023 08:53,56.21580053,-5.7089606,100.2
170124.6976,708772.3936,T,20/08/2023 08:53,56.2157989,-5.70892035,100.2
170126.9997,708771.8233,T,20/08/2023 08:53,56.2157949,-5.708882817,100.5
170129.2407,708771.1203,T,20/08/2023 08:53,56.21578968,-5.70884615,100.3
170131.3331,708771.2329,T,20/08/2023 08:54,56.2157917,-5.708812583,99.6
170133.5046,708771.3534,T,20/08/2023 08:54,56.21579383,-5.70877775,99.4
170136.23,708771.066,T,20/08/2023 08:54,56.21579257,-5.70873365,99.7
170139.1328,708770.9932,T,20/08/2023 08:54,56.21579332,-5.708686883,100.2
170141.5135,708770.325,T,20/08/2023 08:54,56.21578848,-5.708648,100.8
170143.5229,708768.5146,T,20/08/2023 08:54,56.21577322,-5.7086141,100.1
170145.0778,708767.0924,T,20/08/2023 08:54,56.21576122,-5.70858785,99.6
170147.1881,708765.155,T,20/08/2023 08:54,56.21574487,-5.708552217,99.8
170149.0408,708763.5884,T,20/08/2023 08:54,56.21573172,-5.70852105,100.3
170149.7664,708761.6565,T,20/08/2023 08:54,56.21571475,-5.7085077,100.4
170151.8713,708760.8872,T,20/08/2023 08:54,56.21570887,-5.708473167,99.6
170153.6385,708759.8104,T,20/08/2023 08:54,56.21570007,-5.7084438,99.4
170154.7183,708757.9709,T,20/08/2023 08:54,56.2156841,-5.708424833,99.2
170156.4862,708756.4279,T,20/08/2023 08:54,56.21567112,-5.70839505,96.7
170158.2697,708754.7869,T,20/08/2023 08:54,56.21565727,-5.708364933,95.5
170159.4418,708753.0485,T,20/08/2023 08:54,56.21564225,-5.708344567,94.9
170160.8748,708751.5357,T,20/08/2023 08:54,56.21562938,-5.7083202,95.7
170162.8857,708750.7325,T,20/08/2023 08:54,56.21562315,-5.70828715,95.7
170164.8406,708749.7549,T,20/08/2023 08:54,56.21561533,-5.70825485,96.1
170166.6224,708748.3728,T,20/08/2023 08:54,56.2156038,-5.708224983,96.9
170168.4585,708746.5171,T,20/08/2023 08:55,56.21558805,-5.708193833,99.3
170170.8877,708745.8843,T,20/08/2023 08:55,56.21558355,-5.7081542,101.1
170173.0157,708744.8517,T,20/08/2023 08:55,56.21557532,-5.708119067,104.2
170175.3335,708744.091,T,20/08/2023 08:55,56.21556962,-5.708081117,105.3
170177.7848,708743.3678,T,20/08/2023 08:55,56.21556432,-5.70804105,105.5
170177.6752,708745.3903,T,20/08/2023 08:55,56.2155824,-5.708044567,108.5
170177.7871,708742.9494,T,20/08/2023 08:56,56.21556057,-5.70804065,107.6
170178.4813,708745.1438,T,20/08/2023 08:56,56.21558058,-5.708031383,106.8
170180.1121,708746.8796,T,20/08/2023 08:56,56.21559693,-5.70800665,107.4
170181.5153,708745.0272,T,20/08/2023 08:56,56.215581,-5.707982467,107
170182.1252,708742.5215,T,20/08/2023 08:56,56.21555883,-5.707970483,105.6
170183.0759,708740.2674,T,20/08/2023 08:56,56.21553908,-5.707953233,105.4
170183.3445,708737.8325,T,20/08/2023 08:56,56.21551738,-5.7079468,104.9
170184.3968,708734.984,T,20/08/2023 08:56,56.21549235,-5.7079274,105
170185.0144,708732.7389,T,20/08/2023 08:56,56.21547252,-5.707915517,105.2
170186.3992,708730.0052,T,20/08/2023 08:56,56.21544868,-5.707890867,104.5
170187.0557,708727.8862,T,20/08/2023 08:56,56.21543,-5.707878467,104.7
170186.4707,708725.2553,T,20/08/2023 08:56,56.21540613,-5.7078856,106.1
170187.0043,708722.5273,T,20/08/2023 08:56,56.21538193,-5.70787465,105.3
170187.6972,708719.8342,T,20/08/2023 08:56,56.21535812,-5.707861167,104.6
170187.8425,708717.3592,T,20/08/2023 08:56,56.215336,-5.707856683,104.3
170187.6659,708714.6192,T,20/08/2023 08:56,56.21531135,-5.70785715,101.9
170187.1055,708712.3317,T,20/08/2023 08:57,56.21529057,-5.707864183,100.4
170186.8124,708710.1423,T,20/08/2023 08:57,56.2152708,-5.707867,99.5
170186.0935,708707.3926,T,20/08/2023 08:57,56.2152458,-5.707876183,99.2
170187.8425,708705.246,T,20/08/2023 08:57,56.2152274,-5.707846183,99.4
170189.9675,708703.1773,T,20/08/2023 08:57,56.21520988,-5.7078102,99.8
170192.1876,708701.3333,T,20/08/2023 08:57,56.21519442,-5.707772883,99.4
170194.3644,708700.1296,T,20/08/2023 08:57,56.21518468,-5.707736817,99.5
170197.4408,708699.6259,T,20/08/2023 08:57,56.21518165,-5.707686883,100.1
170199.8106,708699.8496,T,20/08/2023 08:57,56.2151848,-5.70764895,101.2
170202.2316,708700.5055,T,20/08/2023 08:57,56.21519185,-5.707610567,102.9
170204.4236,708701.3522,T,20/08/2023 08:57,56.2152005,-5.707576033,104.2
170206.8705,708702.2778,T,20/08/2023 08:57,56.21520998,-5.707537467,105.6
170208.9952,708703.1248,T,20/08/2023 08:57,56.2152186,-5.707504017,106
170211.1716,708703.4336,T,20/08/2023 08:57,56.21522242,-5.707469267,105.9
170214.1298,708703.291,T,20/08/2023 08:57,56.21522257,-5.70742155,106.1
170216.2674,708704.0904,T,20/08/2023 08:57,56.21523077,-5.70738785,105.6
170218.5552,708703.4273,T,20/08/2023 08:57,56.21522593,-5.707350467,105
170220.775,708701.7317,T,20/08/2023 08:57,56.2152118,-5.707313283,103.8
170221.1115,708699.1147,T,20/08/2023 08:57,56.2151885,-5.7073056,103
170220.4213,708696.7627,T,20/08/2023 08:57,56.21516708,-5.707314667,101.9
170219.676,708694.8498,T,20/08/2023 08:57,56.21514957,-5.707325,101.2
170218.3946,708692.2542,T,20/08/2023 08:58,56.21512568,-5.707343367,101.2
170218.0119,708690.0351,T,20/08/2023 08:58,56.2151056,-5.7073476,101.2
170219.1979,708688.3204,T,20/08/2023 08:58,56.2150908,-5.707327033,101.2
170219.9876,708686.4631,T,20/08/2023 08:58,56.21507453,-5.707312717,101.1
170219.9056,708684.2858,T,20/08/2023 08:58,56.21505497,-5.70731215,101.3
170220.4037,708681.8587,T,20/08/2023 08:58,56.21503345,-5.707302033,101.5
170221.2216,708679.7366,T,20/08/2023 08:58,56.21501482,-5.707287033,101
170223.1247,708678.3737,T,20/08/2023 08:58,56.21500352,-5.707255233,101.2
