X,Y
170052.5,708812.5
170052.5,708807.5
170052.5,708802.5
170057.5,708802.5
170057.5,708797.5
170057.5,708792.5
170057.5,708787.5
170057.5,708782.5
170057.5,708777.5
170057.5,708772.5
170062.5,708772.5
170067.5,708772.5
170072.5,708772.5
170077.5,708772.5
170082.5,708772.5
170082.5,708767.5
170087.5,708767.5
170092.5,708767.5
170097.5,708767.5
170102.5,708767.5
170107.5,708767.5
170112.5,708767.5
170117.5,708767.5
170122.5,708767.5
170127.5,708767.5
170132.5,708767.5
170137.5,708767.5
170142.5,708767.5
170147.5,708767.5
170152.5,708767.5
170157.5,708767.5
170162.5,708767.5
170167.5,708767.5
170172.5,708767.5
170177.5,708767.5
170182.5,708767.5
170187.5,708767.5
170192.5,708767.5
170197.5,708767.5
170202.5,708767.5
170207.5,708767.5
170212.5,708767.5
170217.5,708767.5
170222.5,708767.5
170222.5,708762.5
170222.5,708757.5
170227.5,708757.5
170232.5,708757.5
170237.5,708757.5
170242.5,708757.5
170247.5,708757.5
170252.5,708757.5
170257.5,708757.5
170262.5,708757.5
170267.5,708757.5
170272.5,708757.5
170277.5,708757.5
170282.5,708757.5
170287.5,708757.5
170292.5,708757.5
170297.5,708757.5
170302.5,708757.5
170307.5,708757.5
170312.5,708757.5
170317.5,708757.5
170322.5,708757.5
170327.5,708757.5
170332.5,708757.5
170337.5,708757.5
170337.5,708752.5
170337.5,708747.5
170337.5,708742.5
170337.5,708737.5
170342.5,708737.5
170347.5,708737.5
170352.5,708737.5
170352.5,708732.5
170352.5,708727.5
170352.5,708722.5
170357.5,708722.5
170357.5,708717.5
170357.5,708712.5
170362.5,708712.5
170362.5,708707.5
170367.5,708707.5
170367.5,708702.5
170367.5,708697.5
170372.5,708697.5
170372.5,708692.5
170372.5,708687.5
170377.5,708687.5
170377.5,708682.5
170377.5,708677.5
170377.5,708672.5
170377.5,708667.5
170377.5,708662.5
170377.5,708657.5
170377.5,708652.5
170377.5,708647.5
170377.5,708642.5
170377.5,708637.5
170377.5,708632.5
170377.5,708627.5
170377.5,708622.5
170382.5,708622.5
170387.5,708622.5
170392.5,708622.5
170397.5,708622.5
170402.5,708622.5
170402.5,708617.5
170407.5,708617.5
170412.5,708617.5
170412.5,708612.5
170417.5,708612.5
170422.5,708612.5
170422.5,708607.5
170427.5,708607.5
170432.5,708607.5
170437.5,708607.5
170442.5,708607.5
170442.5,708602.5
170447.5,708602.5
170452.5,708602.5
170457.5,708602.5
170462.5,708602.5
170467.5,708602.5
170467.5,708597.5
170472.5,708597.5
170472.5,708592.5
170477.5,708592.5
170477.5,708587.5
170482.5,708587.5
170482.5,708582.5
170482.5,708577.5
170487.5,708577.5
170487.5,708572.5
170487.5,708567.5
170492.5,708567.5
170492.5,708562.5
170497.5,708562.5
170502.5,708562.5
170507.5,708562.5
170512.5,708562.5
170512.5,708557.5
170512.5,708552.5
170512.5,708547.5
170512.5,708542.5
170517.5,708542.5
170522.5,708542.5
170522.5,708537.5
170522.5,708532.5
170527.5,708532.5
170527.5,708527.5
170527.5,708522.5
170532.5,708522.5
170532.5,708517.5
170532.5,708512.5
170532.5,708507.5
170532.5,708502.5
170532.5,708497.5
170532.5,708492.5
170532.5,708487.5
170532.5,708482.5
170532.5,708477.5
170532.5,708472.5
170532.5,708467.5
170532.5,708462.5
170532.5,708457.5
170532.5,708452.5
170532.5,708447.5
170532.5,708442.5
170532.5,708437.5
170532.5,708432.5
170532.5,708427.5
170537.5,708427.5
170537.5,708422.5
170537.5,708417.5
170542.5,708417.5
170542.5,708412.5
170542.5,708407.5
170542.5,708402.5
170542.5,708397.5
170547.5,708397.5
170552.5,708397.5
170557.5,708397.5
170562.5,708397.5
170562.5,708392.5
170562.5,708387.5
170562.5,708382.5
170562.5,708377.5
170562.5,708372.5
170567.5,708372.5
170572.5,708372.5
170577.5,708372.5
170582.5,708372.5
170587.5,708372.5
170592.5,708372.5
170597.5,708372.5
170602.5,708372.5
170602.5,708367.5
170602.5,708362.5
170602.5,708357.5
170607.5,708357.5
170612.5,708357.5
170612.5,708352.5
170612.5,708347.5
170612.5,708342.5
170612.5,708337.5
170612.5,708332.5
170612.5,708327.5
170612.5,708322.5
170612.5,708317.5
170612.5,708312.5
170612.5,708307.5
170612.5,708302.5
170612.5,708297.5
170612.5,708292.5
170612.5,708287.5
170612.5,708282.5
170612.5,708277.5
170612.5,708272.5
170612.5,708267.5
170612.5,708262.5
170612.5,708257.5
170617.5,708257.5
170617.5,708252.5
170617.5,708247.5
170617.5,708242.5
170617.5,708237.5
170617.5,708232.5
170617.5,708227.5
170617.5,708222.5
170617.5,708217.5
170617.5,708212.5
170622.5,708212.5
170627.5,708212.5
170627.5,708207.5
170627.5,708202.5
170632.5,708202.5
170637.5,708202.5
170642.5,708202.5
170642.5,708197.5
170642.5,708192.5
170642.5,708187.5
170642.5,708182.5
170642.5,708177.5
170642.5,708172.5
170642.5,708167.5
170642.5,708162.5
170642.5,708157.5
170642.5,708152.5
170642.5,708147.5
170642.5,708142.5
170642.5,708137.5
170642.5,708132.5
170642.5,708127.5
170642.5,708122.5
170642.5,708117.5
170642.5,708112.5
170642.5,708107.5
170642.5,708102.5
170642.5,708097.5
170642.5,708092.5
170642.5,708087.5
170642.5,708082.5
170642.5,708077.5
170642.5,708072.5
170642.5,708067.5
170647.5,708067.5
170652.5,708067.5
170652.5,708062.5
170652.5,708057.5
170652.5,708052.5
170657.5,708052.5
170657.5,708047.5
170657.5,708042.5
170657.5,708037.5
170657.5,708032.5
170657.5,708027.5
170657.5,708022.5
170657.5,708017.5
170657.5,708012.5
170657.5,708007.5
170657.5,708002.5
170657.5,707997.5
170657.5,707992.5
170657.5,707987.5
170657.5,707982.5
170657.5,707977.5
170657.5,707972.5
170657.5,707967.5
170657.5,707962.5
170657.5,707957.5
170657.5,707952.5
170657.5,707947.5
170657.5,707942.5
170657.5,707937.5
170657.5,707932.5
170657.5,707927.5
170657.5,707922.5
170657.5,707917.5
170657.5,707912.5
170657.5,707907.5
170657.5,707902.5
170657.5,707897.5
170657.5,707892.5
170657.5,707887.5
170657.5,707882.5
170657.5,707877.5
170657.5,707872.5
170657.5,707867.5
170657.5,707862.5
170657.5,707857.5
170657.5,707852.5
170657.5,707847.5
170657.5,707842.5
170657.5,707837.5
170657.5,707832.5
170657.5,707827.5
170657.5,707822.5
170657.5,707817.5
170657.5,707812.5
170657.5,707807.5
170657.5,707802.5
170657.5,707797.5
170657.5,707792.5
170662.5,707792.5
170667.5,707792.5
170667.5,707787.5
170667.5,707782.5
170667.5,707777.5
170667.5,707772.5
170667.5,707767.5
170667.5,707762.5
170667.5,707757.5
170667.5,707752.5
170667.5,707747.5
170672.5,707747.5
170677.5,707747.5
170677.5,707742.5
170677.5,707737.5
170682.5,707737.5
170687.5,707737.5
170692.5,707737.5
170692.5,707732.5
170697.5,707732.5
170702.5,707732.5
170702.5,707727.5
170707.5,707727.5
170707.5,707722.5
170712.5,707722.5
170712.5,707717.5
170717.5,707717.5
170717.5,707712.5
170717.5,707707.5
170722.5,707707.5
170722.5,707702.5
170722.5,707697.5
170722.5,707692.5
170722.5,707687.5
170722.5,707682.5
170727.5,707682.5
170732.5,707682.5
170737.5,707682.5
170742.5,707682.5
170742.5,707677.5
170742.5,707672.5
170742.5,707667.5
170742.5,707662.5
170742.5,707657.5
170742.5,707652.5
170747.5,707652.5
170747.5,707647.5
170747.5,707642.5
170747.5,707637.5
170747.5,707632.5
170747.5,707627.5
170747.5,707622.5
170747.5,707617.5
170747.5,707612.5
170747.5,707607.5
170747.5,707602.5
170747.5,707597.5
170752.5,707597.5
170752.5,707592.5
170752.5,707587.5
170752.5,707582.5
170752.5,707577.5
170752.5,707572.5
170752.5,707567.5
170752.5,707562.5
170752.5,707557.5
170752.5,707552.5
170752.5,707547.5
170752.5,707542.5
170752.5,707537.5
170752.5,707532.5
170752.5,707527.5
170752.5,707522.5
170752.5,707517.5
170752.5,707512.5
170752.5,707507.5
170752.5,707502.5
170752.5,707497.5
170752.5,707492.5
170752.5,707487.5
170757.5,707487.5
170757.5,707482.5
170762.5,707482.5
170767.5,707482.5
170772.5,707482.5
170772.5,707477.5
170777.5,707477.5
170782.5,707477.5
170787.5,707477.5
170787.5,707472.5
170792.5,707472.5
170792.5,707467.5
170797.5,707467.5
170802.5,707467.5
170807.5,707467.5
170812.5,707467.5
170812.5,707462.5
170817.5,707462.5
170817.5,707457.5
170822.5,707457.5
170827.5,707457.5
170832.5,707457.5
170837.5,707457.5
170842.5,707457.5
170847.5,707457.5
170852.5,707457.5
170857.5,707457.5
170862.5,707457.5
170867.5,707457.5
170872.5,707457.5
170877.5,707457.5
170882.5,707457.5
170887.5,707457.5
170892.5,707457.5
170892.5,707452.5
170897.5,707452.5
170902.5,707452.5
170907.5,707452.5
170912.5,707452.5
170917.5,707452.5
170922.5,707452.5
170927.5,707452.5
170932.5,707452.5
170937.5,707452.5
170942.5,707452.5
170947.5,707452.5
170947.5,707457.5
170947.5,707462.5
170947.5,707467.5
170952.5,707467.5
170957.5,707467.5
170962.5,707467.5
170967.5,707467.5
170972.5,707467.5
170972.5,707472.5
170972.5,707477.5
170977.5,707477.5
170982.5,707477.5
170982.5,707482.5
170987.5,707482.5
170992.5,707482.5
170997.5,707482.5
171002.5,707482.5
171002.5,707487.5
171007.5,707487.5
171007.5,707492.5
171007.5,707497.5
171012.5,707497.5
171012.5,707502.5
171012.5,707507.5
171017.5,707507.5
171017.5,707512.5
171017.5,707517.5
171017.5,707522.5
171017.5,707527.5
171017.5,707532.5
171022.5,707532.5
171022.5,707537.5
171022.5,707542.5
171022.5,707547.5
171027.5,707547.5
171032.5,707547.5
171037.5,707547.5
171042.5,707547.5
171047.5,707547.5
171052.5,707547.5
171057.5,707547.5
171057.5,707552.5
171057.5,707557.5
171062.5,707557.5
171067.5,707557.5
171072.5,707557.5
171077.5,707557.5
171082.5,707557.5
171087.5,707557.5
171092.5,707557.5
171097.5,707557.5
171097.5,707562.5
171102.5,707562.5
171107.5,707562.5
171107.5,707567.5
